"description","quantity","unit","matchDescription","gwp","source","tabName","rowNumber"
"m pile - steel welded pipe:400mm diameter:254426",1,"m3","Steel, welded pipe",16454,"ice","foundations",492
"m pile - steel welded pipe:400mm diameter:253940",1,"m3","Steel, welded pipe",16454,"ice","foundations",408
"m pile - steel welded pipe:400mm diameter:254141",1,"m3","Steel, welded pipe",16454,"ice","foundations",434
"m pile - steel welded pipe:400mm diameter:254421",1,"m3","Steel, welded pipe",16454,"ice","foundations",487
"m pile - steel welded pipe:400mm diameter:253936",1,"m3","Steel, welded pipe",16454,"ice","foundations",404
"m pile - steel welded pipe:400mm diameter:254390",1,"m3","Steel, welded pipe",16454,"ice","foundations",484
"m pile - steel welded pipe:400mm diameter:253938",1,"m3","Steel, welded pipe",16454,"ice","foundations",406
"m pile - steel welded pipe:400mm diameter:254595",1,"m3","Steel, welded pipe",16454,"ice","foundations",520
"m pile - steel welded pipe:400mm diameter:254746",1,"m3","Steel, welded pipe",16454,"ice","foundations",540
"m pile - steel welded pipe:400mm diameter:254662",1,"m3","Steel, welded pipe",16454,"ice","foundations",522
"m pile - steel welded pipe:400mm diameter:254512",1,"m3","Steel, welded pipe",16454,"ice","foundations",504
"m pile - steel welded pipe:400mm diameter:254544",1,"m3","Steel, welded pipe",16454,"ice","foundations",508
"m pile - steel welded pipe:400mm diameter:254424",1,"m3","Steel, welded pipe",16454,"ice","foundations",490
"m pile - steel welded pipe:400mm diameter:254386",1,"m3","Steel, welded pipe",16454,"ice","foundations",480
"m pile - steel welded pipe:400mm diameter:254282",1,"m3","Steel, welded pipe",16454,"ice","foundations",460
"concrete rc35/45 - cast-in-place concrete block",12,"m3","Concrete RC35/45 with CEM I cement",4784,"ice","foundations",552
"m pile - steel welded pipe:400mm diameter:254354",1,"m3","Steel, welded pipe",16454,"ice","foundations",476
"m pile - steel welded pipe:400mm diameter:254316",1,"m3","Steel, welded pipe",16454,"ice","foundations",466
"m pile - steel welded pipe:400mm diameter:254742",1,"m3","Steel, welded pipe",16454,"ice","foundations",536
"m pile - steel welded pipe:400mm diameter:254710",1,"m3","Steel, welded pipe",16454,"ice","foundations",532
"m pile - steel welded pipe:600mm diameter:219651",2,"m3","Steel, welded pipe",37034,"ice","foundations",67
"m pile - steel welded pipe:600mm diameter:219659",2,"m3","Steel, welded pipe",37034,"ice","foundations",75
"m pile - steel welded pipe:600mm diameter:219663",2,"m3","Steel, welded pipe",37034,"ice","foundations",79
"m pile - steel welded pipe:400mm diameter:254665",1,"m3","Steel, welded pipe",16454,"ice","foundations",525
"m pile - steel welded pipe:600mm diameter:219687",2,"m3","Steel, welded pipe",37034,"ice","foundations",94
"m pile - steel welded pipe:600mm diameter:219675",2,"m3","Steel, welded pipe",37034,"ice","foundations",91
"m pile - steel welded pipe:600mm diameter:219688",2,"m3","Steel, welded pipe",37034,"ice","foundations",95
"m pile - steel welded pipe:600mm diameter:219698",2,"m3","Steel, welded pipe",37034,"ice","foundations",105
"m pile - steel welded pipe:600mm diameter:219690",2,"m3","Steel, welded pipe",37034,"ice","foundations",97
"m pile - steel welded pipe:600mm diameter:219702",2,"m3","Steel, welded pipe",37034,"ice","foundations",109
"m pile - steel welded pipe:600mm diameter:219708",2,"m3","Steel, welded pipe",37034,"ice","foundations",115
"m pile - steel welded pipe:600mm diameter:219712",2,"m3","Steel, welded pipe",37034,"ice","foundations",119
"m pile - steel welded pipe:600mm diameter:219718",2,"m3","Steel, welded pipe",37034,"ice","foundations",125
"m pile - steel welded pipe:600mm diameter:219720",2,"m3","Steel, welded pipe",37034,"ice","foundations",127
"m pile - steel welded pipe:600mm diameter:219734",2,"m3","Steel, welded pipe",37034,"ice","foundations",141
"m pile - steel welded pipe:600mm diameter:219722",2,"m3","Steel, welded pipe",37034,"ice","foundations",129
"m pile - steel welded pipe:600mm diameter:219736",2,"m3","Steel, welded pipe",37034,"ice","foundations",143
"m pile - steel welded pipe:600mm diameter:219730",2,"m3","Steel, welded pipe",37034,"ice","foundations",137
"m pile - steel welded pipe:600mm diameter:219738",2,"m3","Steel, welded pipe",37034,"ice","foundations",145
"m pile - steel welded pipe:600mm diameter:219760",2,"m3","Steel, welded pipe",37034,"ice","foundations",167
"m pile - steel welded pipe:600mm diameter:219742",2,"m3","Steel, welded pipe",37034,"ice","foundations",149
"m pile - steel welded pipe:600mm diameter:219764",2,"m3","Steel, welded pipe",37034,"ice","foundations",171
"m pile - steel welded pipe:600mm diameter:219748",2,"m3","Steel, welded pipe",37034,"ice","foundations",155
"m pile - steel welded pipe:600mm diameter:219750",2,"m3","Steel, welded pipe",37034,"ice","foundations",157
"m pile - steel welded pipe:600mm diameter:219776",2,"m3","Steel, welded pipe",37034,"ice","foundations",183
"m pile - steel welded pipe:600mm diameter:219756",2,"m3","Steel, welded pipe",37034,"ice","foundations",163
"m pile - steel welded pipe:600mm diameter:219780",2,"m3","Steel, welded pipe",37034,"ice","foundations",187
"m pile - steel welded pipe:600mm diameter:219766",2,"m3","Steel, welded pipe",37034,"ice","foundations",173
"m pile - steel welded pipe:600mm diameter:219784",2,"m3","Steel, welded pipe",37034,"ice","foundations",191
"m pile - steel welded pipe:600mm diameter:219774",2,"m3","Steel, welded pipe",37034,"ice","foundations",181
"m pile - steel welded pipe:600mm diameter:219788",2,"m3","Steel, welded pipe",37034,"ice","foundations",195
"m pile - steel welded pipe:600mm diameter:219796",2,"m3","Steel, welded pipe",37034,"ice","foundations",203
"m pile - steel welded pipe:600mm diameter:219798",2,"m3","Steel, welded pipe",37034,"ice","foundations",205
"m pile - steel welded pipe:600mm diameter:219794",2,"m3","Steel, welded pipe",37034,"ice","foundations",201
"m pile - steel welded pipe:600mm diameter:219802",2,"m3","Steel, welded pipe",37034,"ice","foundations",209
"m pile - steel welded pipe:600mm diameter:219810",2,"m3","Steel, welded pipe",37034,"ice","foundations",217
"m pile - steel welded pipe:600mm diameter:219806",2,"m3","Steel, welded pipe",37034,"ice","foundations",213
"m pile - steel welded pipe:600mm diameter:219822",2,"m3","Steel, welded pipe",37034,"ice","foundations",229
"m pile - steel welded pipe:600mm diameter:219820",2,"m3","Steel, welded pipe",37034,"ice","foundations",227
"m pile - steel welded pipe:600mm diameter:219818",2,"m3","Steel, welded pipe",37034,"ice","foundations",225
"m pile - steel welded pipe:600mm diameter:219828",2,"m3","Steel, welded pipe",37034,"ice","foundations",235
"m pile - steel welded pipe:600mm diameter:219832",2,"m3","Steel, welded pipe",37034,"ice","foundations",239
"m pile - steel welded pipe:600mm diameter:219836",2,"m3","Steel, welded pipe",37034,"ice","foundations",243
"m pile - steel welded pipe:600mm diameter:219838",2,"m3","Steel, welded pipe",37034,"ice","foundations",245
"m pile - steel welded pipe:600mm diameter:219842",2,"m3","Steel, welded pipe",37034,"ice","foundations",249
"m pile - steel welded pipe:600mm diameter:219848",2,"m3","Steel, welded pipe",37034,"ice","foundations",255
"m pile - steel welded pipe:600mm diameter:219856",2,"m3","Steel, welded pipe",37034,"ice","foundations",263
"m pile - steel welded pipe:600mm diameter:219850",2,"m3","Steel, welded pipe",37034,"ice","foundations",257
"m pile - steel welded pipe:600mm diameter:219866",2,"m3","Steel, welded pipe",37034,"ice","foundations",273
"m pile - steel welded pipe:600mm diameter:219858",2,"m3","Steel, welded pipe",37034,"ice","foundations",265
"m pile - steel welded pipe:600mm diameter:219874",2,"m3","Steel, welded pipe",37034,"ice","foundations",281
"m pile - steel welded pipe:600mm diameter:219860",2,"m3","Steel, welded pipe",37034,"ice","foundations",267
"m pile - steel welded pipe:600mm diameter:219882",2,"m3","Steel, welded pipe",37034,"ice","foundations",289
"m pile - steel welded pipe:600mm diameter:219876",2,"m3","Steel, welded pipe",37034,"ice","foundations",283
"m pile - steel welded pipe:600mm diameter:219898",2,"m3","Steel, welded pipe",37034,"ice","foundations",305
"m pile - steel welded pipe:600mm diameter:219878",2,"m3","Steel, welded pipe",37034,"ice","foundations",285
"m pile - steel welded pipe:600mm diameter:219902",2,"m3","Steel, welded pipe",37034,"ice","foundations",309
"m pile - steel welded pipe:600mm diameter:219886",2,"m3","Steel, welded pipe",37034,"ice","foundations",293
"m pile - steel welded pipe:600mm diameter:219908",2,"m3","Steel, welded pipe",37034,"ice","foundations",315
"m pile - steel welded pipe:600mm diameter:219888",2,"m3","Steel, welded pipe",37034,"ice","foundations",295
"m pile - steel welded pipe:600mm diameter:219904",2,"m3","Steel, welded pipe",37034,"ice","foundations",311
"m pile - steel welded pipe:600mm diameter:219896",2,"m3","Steel, welded pipe",37034,"ice","foundations",303
"m pile - steel welded pipe:600mm diameter:219906",2,"m3","Steel, welded pipe",37034,"ice","foundations",313
"m pile - steel welded pipe:600mm diameter:219932",2,"m3","Steel, welded pipe",37034,"ice","foundations",339
"m pile - steel welded pipe:600mm diameter:219920",2,"m3","Steel, welded pipe",37034,"ice","foundations",327
"m pile - steel welded pipe:600mm diameter:219965",2,"m3","Steel, welded pipe",37034,"ice","foundations",363
"m pile - steel welded pipe:600mm diameter:219924",2,"m3","Steel, welded pipe",37034,"ice","foundations",331
"m pile - steel welded pipe:600mm diameter:219969",2,"m3","Steel, welded pipe",37034,"ice","foundations",367
"m pile - steel welded pipe:600mm diameter:219930",2,"m3","Steel, welded pipe",37034,"ice","foundations",337
"m pile - steel welded pipe:600mm diameter:219934",2,"m3","Steel, welded pipe",37034,"ice","foundations",341
"m pile - steel welded pipe:600mm diameter:219977",2,"m3","Steel, welded pipe",37034,"ice","foundations",375
"m pile - steel welded pipe:600mm diameter:219938",2,"m3","Steel, welded pipe",37034,"ice","foundations",345
"m pile - steel welded pipe:600mm diameter:219942",2,"m3","Steel, welded pipe",37034,"ice","foundations",349
"m pile - steel welded pipe:600mm diameter:219948",2,"m3","Steel, welded pipe",37034,"ice","foundations",355
"concrete rc35/45 - cast-in-place concrete rc35/45 - 35 mpa",18,"m3","Concrete RC35/45 with 14% limestone cement",6125,"ice","foundations",395
"m pile - steel welded pipe:600mm diameter:219952",2,"m3","Steel, welded pipe",37034,"ice","foundations",359
"concrete rc35/45 - cast-in-place concrete rc35/45 - 35 mpa",1,"m3","Concrete RC35/45 with 14% limestone cement",250,"ice","foundations",400
"m pile - steel welded pipe:600mm diameter:219967",2,"m3","Steel, welded pipe",37034,"ice","foundations",365
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254103",4,"m3","Concrete RC40/50 with 15% PFA cement",1539,"ice","foundations",423
"m pile - steel welded pipe:600mm diameter:219981",2,"m3","Steel, welded pipe",37034,"ice","foundations",379
"m pile - steel welded pipe:400mm diameter:254110",1,"m3","Steel, welded pipe",16454,"ice","foundations",429
"m pile - steel welded pipe:400mm diameter:254140",1,"m3","Steel, welded pipe",16454,"ice","foundations",433
"m pile - steel welded pipe:400mm diameter:254201",1,"m3","Steel, welded pipe",16454,"ice","foundations",441
"m pile - steel welded pipe:400mm diameter:253935",1,"m3","Steel, welded pipe",16454,"ice","foundations",403
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254019",4,"m3","Concrete RC40/50 with 15% PFA cement",1539,"ice","foundations",409
"m pile - steel welded pipe:400mm diameter:254249",1,"m3","Steel, welded pipe",16454,"ice","foundations",453
"m pile - steel welded pipe:400mm diameter:254074",1,"m3","Steel, welded pipe",16454,"ice","foundations",421
"m pile - steel welded pipe:400mm diameter:254281",1,"m3","Steel, welded pipe",16454,"ice","foundations",459
"m pile - steel welded pipe:400mm diameter:254022",1,"m3","Steel, welded pipe",16454,"ice","foundations",411
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254349",4,"m3","Concrete RC40/50 with 15% PFA cement",1539,"ice","foundations",472
"m pile - steel welded pipe:400mm diameter:254024",1,"m3","Steel, welded pipe",16454,"ice","foundations",413
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254196",4,"m3","Concrete RC40/50 with 15% PFA cement",1539,"ice","foundations",437
"m pile - steel welded pipe:400mm diameter:254425",1,"m3","Steel, welded pipe",16454,"ice","foundations",491
"m pile - steel welded pipe:400mm diameter:254106",1,"m3","Steel, welded pipe",16454,"ice","foundations",425
"m pile - steel welded pipe:400mm diameter:254477",1,"m3","Steel, welded pipe",16454,"ice","foundations",497
"m pile - steel welded pipe:400mm diameter:254199",1,"m3","Steel, welded pipe",16454,"ice","foundations",439
"m pile - steel welded pipe:400mm diameter:254253",1,"m3","Steel, welded pipe",16454,"ice","foundations",457
"m pile - steel welded pipe:400mm diameter:254547",1,"m3","Steel, welded pipe",16454,"ice","foundations",511
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254542",4,"m3","Concrete RC40/50 with 15% PFA cement",1539,"ice","foundations",507
"m pile - steel welded pipe:400mm diameter:254285",1,"m3","Steel, welded pipe",16454,"ice","foundations",463
"m pile - steel welded pipe:400mm diameter:254283",1,"m3","Steel, welded pipe",16454,"ice","foundations",461
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254660",4,"m3","Concrete RC40/50 with 15% PFA cement",1539,"ice","foundations",521
"m pile - steel welded pipe:400mm diameter:254317",1,"m3","Steel, welded pipe",16454,"ice","foundations",467
"m pile - steel welded pipe:400mm diameter:254707",1,"m3","Steel, welded pipe",16454,"ice","foundations",529
"m pile - steel welded pipe:400mm diameter:254355",1,"m3","Steel, welded pipe",16454,"ice","foundations",477
"m pile - steel welded pipe:400mm diameter:254711",1,"m3","Steel, welded pipe",16454,"ice","foundations",533
"m pile - steel welded pipe:400mm diameter:254352",1,"m3","Steel, welded pipe",16454,"ice","foundations",474
"m pile - steel welded pipe:400mm diameter:254423",1,"m3","Steel, welded pipe",16454,"ice","foundations",489
"m pile - steel welded pipe:600mm diameter:219669",2,"m3","Steel, welded pipe",37034,"ice","foundations",85
"m pile - steel welded pipe:400mm diameter:254475",1,"m3","Steel, welded pipe",16454,"ice","foundations",495
"m pile - steel welded pipe:400mm diameter:254511",1,"m3","Steel, welded pipe",16454,"ice","foundations",503
"m pile - steel welded pipe:400mm diameter:254545",1,"m3","Steel, welded pipe",16454,"ice","foundations",509
"m pile - steel welded pipe:400mm diameter:254667",1,"m3","Steel, welded pipe",16454,"ice","foundations",527
"m pile - steel welded pipe:400mm diameter:254743",1,"m3","Steel, welded pipe",16454,"ice","foundations",537
"m pile - steel welded pipe:400mm diameter:254747",1,"m3","Steel, welded pipe",16454,"ice","foundations",541
"m pile - steel welded pipe:600mm diameter:219671",2,"m3","Steel, welded pipe",37034,"ice","foundations",87
"concrete rc35/45 - cast-in-place concrete block",10,"m3","Concrete RC35/45 with CEM I cement",3869,"ice","foundations",551
"m pile cap - 9 pile : 3800 x 3800 x 600mm:214322",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",24
"m pile cap - 9 pile : 3800 x 3800 x 600mm:214722",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",28
"m pile cap - 9 pile : 3800 x 3800 x 600mm:215602",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",38
"m pile cap - 9 pile : 3800 x 3800 x 600mm:216264",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",44
"m pile - steel welded pipe:600mm diameter:219640",2,"m3","Steel, welded pipe",37034,"ice","foundations",56
"m pile - steel welded pipe:600mm diameter:219644",2,"m3","Steel, welded pipe",37034,"ice","foundations",60
"m pile - steel welded pipe:600mm diameter:219648",2,"m3","Steel, welded pipe",37034,"ice","foundations",64
"m pile - steel welded pipe:600mm diameter:219658",2,"m3","Steel, welded pipe",37034,"ice","foundations",74
"m pile - steel welded pipe:600mm diameter:219668",2,"m3","Steel, welded pipe",37034,"ice","foundations",84
"m pile - steel welded pipe:600mm diameter:219674",2,"m3","Steel, welded pipe",37034,"ice","foundations",90
"m pile - steel welded pipe:600mm diameter:219693",2,"m3","Steel, welded pipe",37034,"ice","foundations",100
"m pile cap - 9 pile : 3800 x 3800 x 600mm:214010",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",22
"m pile - steel welded pipe:600mm diameter:219711",2,"m3","Steel, welded pipe",37034,"ice","foundations",118
"m pile cap - 9 pile : 3800 x 3800 x 600mm:217145",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",52
"m pile - steel welded pipe:600mm diameter:219691",2,"m3","Steel, welded pipe",37034,"ice","foundations",98
"m pile cap - 9 pile : 3800 x 3800 x 600mm:216712",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",48
"m pile - steel welded pipe:600mm diameter:219685",2,"m3","Steel, welded pipe",37034,"ice","foundations",92
"m pile cap - 9 pile : 3800 x 3800 x 600mm:216038",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",42
"m pile - steel welded pipe:600mm diameter:219703",2,"m3","Steel, welded pipe",37034,"ice","foundations",110
"m pile cap - 9 pile : 3800 x 3800 x 600mm:215224",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",34
"m pile - steel welded pipe:600mm diameter:219695",2,"m3","Steel, welded pipe",37034,"ice","foundations",102
"m pile - steel welded pipe:600mm diameter:219660",2,"m3","Steel, welded pipe",37034,"ice","foundations",76
"m pile - steel welded pipe:600mm diameter:219666",2,"m3","Steel, welded pipe",37034,"ice","foundations",82
"m pile - steel welded pipe:600mm diameter:219654",2,"m3","Steel, welded pipe",37034,"ice","foundations",70
"m pile - steel welded pipe:600mm diameter:219709",2,"m3","Steel, welded pipe",37034,"ice","foundations",116
"m pile - steel welded pipe:600mm diameter:219787",2,"m3","Steel, welded pipe",37034,"ice","foundations",194
"m pile - steel welded pipe:600mm diameter:219789",2,"m3","Steel, welded pipe",37034,"ice","foundations",196
"m pile - steel welded pipe:600mm diameter:219809",2,"m3","Steel, welded pipe",37034,"ice","foundations",216
"m pile - steel welded pipe:600mm diameter:219775",2,"m3","Steel, welded pipe",37034,"ice","foundations",182
"m pile - steel welded pipe:600mm diameter:219771",2,"m3","Steel, welded pipe",37034,"ice","foundations",178
"m pile - steel welded pipe:600mm diameter:219817",2,"m3","Steel, welded pipe",37034,"ice","foundations",224
"m pile - steel welded pipe:600mm diameter:219805",2,"m3","Steel, welded pipe",37034,"ice","foundations",212
"m pile - steel welded pipe:600mm diameter:219741",2,"m3","Steel, welded pipe",37034,"ice","foundations",148
"m pile - steel welded pipe:600mm diameter:219735",2,"m3","Steel, welded pipe",37034,"ice","foundations",142
"m pile - steel welded pipe:600mm diameter:219793",2,"m3","Steel, welded pipe",37034,"ice","foundations",200
"m pile - steel welded pipe:600mm diameter:219767",2,"m3","Steel, welded pipe",37034,"ice","foundations",174
"m pile - steel welded pipe:600mm diameter:219715",2,"m3","Steel, welded pipe",37034,"ice","foundations",122
"m pile - steel welded pipe:600mm diameter:219717",2,"m3","Steel, welded pipe",37034,"ice","foundations",124
"m pile - steel welded pipe:600mm diameter:219783",2,"m3","Steel, welded pipe",37034,"ice","foundations",190
"m pile - steel welded pipe:600mm diameter:219761",2,"m3","Steel, welded pipe",37034,"ice","foundations",168
"m pile - steel welded pipe:600mm diameter:219763",2,"m3","Steel, welded pipe",37034,"ice","foundations",170
"m pile - steel welded pipe:600mm diameter:219727",2,"m3","Steel, welded pipe",37034,"ice","foundations",134
"m pile - steel welded pipe:600mm diameter:219773",2,"m3","Steel, welded pipe",37034,"ice","foundations",180
"m pile - steel welded pipe:600mm diameter:219747",2,"m3","Steel, welded pipe",37034,"ice","foundations",154
"m pile - steel welded pipe:600mm diameter:219753",2,"m3","Steel, welded pipe",37034,"ice","foundations",160
"m pile - steel welded pipe:600mm diameter:219737",2,"m3","Steel, welded pipe",37034,"ice","foundations",144
"m pile - steel welded pipe:600mm diameter:219731",2,"m3","Steel, welded pipe",37034,"ice","foundations",138
"m pile - steel welded pipe:600mm diameter:219749",2,"m3","Steel, welded pipe",37034,"ice","foundations",156
"m pile - steel welded pipe:600mm diameter:219721",2,"m3","Steel, welded pipe",37034,"ice","foundations",128
"m pile - steel welded pipe:600mm diameter:219849",2,"m3","Steel, welded pipe",37034,"ice","foundations",256
"m pile - steel welded pipe:600mm diameter:219879",2,"m3","Steel, welded pipe",37034,"ice","foundations",286
"m pile - steel welded pipe:600mm diameter:219815",2,"m3","Steel, welded pipe",37034,"ice","foundations",222
"m pile - steel welded pipe:600mm diameter:219873",2,"m3","Steel, welded pipe",37034,"ice","foundations",280
"m pile - steel welded pipe:600mm diameter:219833",2,"m3","Steel, welded pipe",37034,"ice","foundations",240
"m pile - steel welded pipe:600mm diameter:219867",2,"m3","Steel, welded pipe",37034,"ice","foundations",274
"m pile - steel welded pipe:600mm diameter:219869",2,"m3","Steel, welded pipe",37034,"ice","foundations",276
"m pile - steel welded pipe:600mm diameter:219831",2,"m3","Steel, welded pipe",37034,"ice","foundations",238
"m pile - steel welded pipe:600mm diameter:219827",2,"m3","Steel, welded pipe",37034,"ice","foundations",234
"m pile - steel welded pipe:600mm diameter:219803",2,"m3","Steel, welded pipe",37034,"ice","foundations",210
"m pile - steel welded pipe:600mm diameter:219841",2,"m3","Steel, welded pipe",37034,"ice","foundations",248
"m pile - steel welded pipe:600mm diameter:219825",2,"m3","Steel, welded pipe",37034,"ice","foundations",232
"m pile - steel welded pipe:600mm diameter:219855",2,"m3","Steel, welded pipe",37034,"ice","foundations",262
"m pile - steel welded pipe:600mm diameter:219847",2,"m3","Steel, welded pipe",37034,"ice","foundations",254
"m pile - steel welded pipe:600mm diameter:219795",2,"m3","Steel, welded pipe",37034,"ice","foundations",202
"m pile - steel welded pipe:600mm diameter:219843",2,"m3","Steel, welded pipe",37034,"ice","foundations",250
"m pile - steel welded pipe:600mm diameter:219857",2,"m3","Steel, welded pipe",37034,"ice","foundations",264
"m pile - steel welded pipe:600mm diameter:219921",2,"m3","Steel, welded pipe",37034,"ice","foundations",328
"m pile - steel welded pipe:600mm diameter:219901",2,"m3","Steel, welded pipe",37034,"ice","foundations",308
"m pile - steel welded pipe:600mm diameter:219903",2,"m3","Steel, welded pipe",37034,"ice","foundations",310
"m pile - steel welded pipe:600mm diameter:219895",2,"m3","Steel, welded pipe",37034,"ice","foundations",302
"m pile - steel welded pipe:600mm diameter:219947",2,"m3","Steel, welded pipe",37034,"ice","foundations",354
"m pile - steel welded pipe:600mm diameter:219923",2,"m3","Steel, welded pipe",37034,"ice","foundations",330
"m pile - steel welded pipe:600mm diameter:219909",2,"m3","Steel, welded pipe",37034,"ice","foundations",316
"m pile - steel welded pipe:600mm diameter:219905",2,"m3","Steel, welded pipe",37034,"ice","foundations",312
"m pile - steel welded pipe:600mm diameter:219863",2,"m3","Steel, welded pipe",37034,"ice","foundations",270
"m pile - steel welded pipe:600mm diameter:219945",2,"m3","Steel, welded pipe",37034,"ice","foundations",352
"m pile - steel welded pipe:600mm diameter:219913",2,"m3","Steel, welded pipe",37034,"ice","foundations",320
"m pile - steel welded pipe:600mm diameter:219891",2,"m3","Steel, welded pipe",37034,"ice","foundations",298
"m pile - steel welded pipe:600mm diameter:219885",2,"m3","Steel, welded pipe",37034,"ice","foundations",292
"m pile - steel welded pipe:600mm diameter:219927",2,"m3","Steel, welded pipe",37034,"ice","foundations",334
"m pile - steel welded pipe:600mm diameter:219883",2,"m3","Steel, welded pipe",37034,"ice","foundations",290
"m pile - steel welded pipe:400mm diameter:254252",1,"m3","Steel, welded pipe",16454,"ice","foundations",456
"m pile - steel welded pipe:400mm diameter:254109",1,"m3","Steel, welded pipe",16454,"ice","foundations",428
"m pile - steel welded pipe:600mm diameter:219964",2,"m3","Steel, welded pipe",37034,"ice","foundations",362
"m pile - steel welded pipe:400mm diameter:254139",1,"m3","Steel, welded pipe",16454,"ice","foundations",432
"m pile - steel welded pipe:600mm diameter:219941",2,"m3","Steel, welded pipe",37034,"ice","foundations",348
"m pile - steel welded pipe:600mm diameter:219935",2,"m3","Steel, welded pipe",37034,"ice","foundations",342
"m pile - steel welded pipe:600mm diameter:219970",2,"m3","Steel, welded pipe",37034,"ice","foundations",368
"m pile - steel welded pipe:600mm diameter:219976",2,"m3","Steel, welded pipe",37034,"ice","foundations",374
"m pile - steel welded pipe:400mm diameter:254215",1,"m3","Steel, welded pipe",16454,"ice","foundations",448
"m pile - steel welded pipe:600mm diameter:219974",2,"m3","Steel, welded pipe",37034,"ice","foundations",372
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254210",4,"m3","Concrete RC40/50 with 15% PFA cement",1539,"ice","foundations",444
"m pile - steel welded pipe:600mm diameter:219949",2,"m3","Steel, welded pipe",37034,"ice","foundations",356
"m pile - steel welded pipe:600mm diameter:219929",2,"m3","Steel, welded pipe",37034,"ice","foundations",336
"m pile - steel welded pipe:400mm diameter:254025",1,"m3","Steel, welded pipe",16454,"ice","foundations",414
"m pile - steel welded pipe:600mm diameter:219953",2,"m3","Steel, welded pipe",37034,"ice","foundations",360
"concrete rc35/45 - cast-in-place concrete rc35/45 - 35 mpa",1,"m3","Concrete RC35/45 with 14% limestone cement",331,"ice","foundations",398
"m pile - steel welded pipe:400mm diameter:254351",1,"m3","Steel, welded pipe",16454,"ice","foundations",473
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254588",4,"m3","Concrete RC40/50 with 15% PFA cement",1539,"ice","foundations",514
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254507",4,"m3","Concrete RC40/50 with 15% PFA cement",1539,"ice","foundations",500
"m pile - steel welded pipe:400mm diameter:254200",1,"m3","Steel, welded pipe",16454,"ice","foundations",440
"m pile - steel welded pipe:400mm diameter:254073",1,"m3","Steel, welded pipe",16454,"ice","foundations",420
"m pile - steel welded pipe:400mm diameter:254474",1,"m3","Steel, welded pipe",16454,"ice","foundations",494
"m pile - steel welded pipe:400mm diameter:254250",1,"m3","Steel, welded pipe",16454,"ice","foundations",454
"m pile - steel welded pipe:400mm diameter:254143",1,"m3","Steel, welded pipe",16454,"ice","foundations",436
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254068",4,"m3","Concrete RC40/50 with 15% PFA cement",1539,"ice","foundations",416
"m pile - steel welded pipe:400mm diameter:254286",1,"m3","Steel, welded pipe",16454,"ice","foundations",464
"concrete rc35/45 - cast-in-place concrete rc35/45 - 35 mpa",0,"m3","Concrete RC35/45 with 14% limestone cement",116,"ice","foundations",394
"m pile - steel welded pipe:400mm diameter:254708",1,"m3","Steel, welded pipe",16454,"ice","foundations",530
"m pile - steel welded pipe:400mm diameter:254321",1,"m3","Steel, welded pipe",16454,"ice","foundations",471
"m pile - steel welded pipe:400mm diameter:254213",1,"m3","Steel, welded pipe",16454,"ice","foundations",446
"m pile - steel welded pipe:400mm diameter:254388",1,"m3","Steel, welded pipe",16454,"ice","foundations",482
"concrete rc35/45 - cast-in-place concrete rc35/45 - 35 mpa",18,"m3","Concrete RC35/45 with 14% limestone cement",6125,"ice","foundations",396
"m pile cap - 6 pile : 2500 x 1800 x 900mm:253933",4,"m3","Concrete RC40/50 with 15% PFA cement",1539,"ice","foundations",402
"m pile - steel welded pipe:400mm diameter:254021",1,"m3","Steel, welded pipe",16454,"ice","foundations",410
"m pile - steel welded pipe:400mm diameter:254476",1,"m3","Steel, welded pipe",16454,"ice","foundations",496
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254705",4,"m3","Concrete RC40/50 with 15% PFA cement",1539,"ice","foundations",528
"m pile - steel welded pipe:400mm diameter:254546",1,"m3","Steel, welded pipe",16454,"ice","foundations",510
"m pile - steel welded pipe:400mm diameter:254353",1,"m3","Steel, welded pipe",16454,"ice","foundations",475
"m pile cap - 6 pile : 2500 x 1800 x 900mm:254279",4,"m3","Concrete RC40/50 with 15% PFA cement",1539,"ice","foundations",458
"m pile - steel welded pipe:400mm diameter:254666",1,"m3","Steel, welded pipe",16454,"ice","foundations",526
